,block_id,previous_solution,timeout,solver_time_in_sec,outcome,initial_n_instrs,model_found,shown_optimal,initial_length,saved_length,checker,reason,solution_found,optimized_n_instrs,optimized_length
1907,lessthan.wasm_function_13_block_0_4,"local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(7)] local.get[local_index(8)] i64.mul i64.add local.set[local_index(3)] local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)] local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(0)] i64.load32_u[2,8] local.tee[local_index(9)]",10,180.01,no_model,20,False,False,20,0,True,,,,
1908,babyadd_tester.wasm_function_13_block_0_23,"i64.add local.set[local_index(4)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[2,24] local.get[local_index(4)] i64.const[32] i64.shr_u local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(5)] local.get[local_index(1)] i64.load32_u[2,28] local.tee[local_index(20)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)]",10,180.01,no_model,20,False,False,20,0,True,,,,
1909,greatereqthan.wasm_function_14_block_0_0,i64.const[0] local.set[local_index(2)] i64.const[0] local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and i64.const[1] i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295],10,0.97,optimal,20,True,True,20,16,True,,i64.const_1 TEE2 TEE1 i64.const_0,4.0,4.0
1910,greaterthan.wasm_function_18_block_4,local.get[local_index(3)] local.set[local_index(4)],10,0.13,optimal,2,True,True,2,0,True,,local.get_0 SET1,2.0,2.0
1911,greatereqthan.wasm_function_18_block_1,local.get[local_index(2)] local.set[local_index(5)],10,0.13,optimal,2,True,True,2,0,True,,local.get_0 SET1,2.0,2.0
1912,lessthan.wasm_function_18_block_9,local.get[local_index(7)] i32.const[1] i32.sub local.set[local_index(7)],10,0.22,optimal,4,True,True,4,0,True,,GET1 i32.const_0 i32.sub_0 SET1,4.0,4.0
1913,sum_test.wasm_function_14_block_0_48,local.get[local_index(4)] i64.const[32] i64.shr_u local.set[local_index(5)] i64.const[0] local.set[local_index(2)] i64.const[0] local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(11)] local.get[local_index(13)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u,10,4.66,optimal,20,True,True,20,8,True,,i64.const_1 TEE2 local.get_1 local.get_2 i64.mul_0 TEE1 i64.const_0 local.get_0 i64.const_0 i64.shr_u_1 SET3 i64.shr_u_0,12.0,12.0
1914,sum_test.wasm_function_14_block_0_56,i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(4)] i64.const[4294967295] i64.and i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.get[local_index(5)] i64.add local.set[local_index(3)],10,180.01,no_model,20,False,False,20,0,True,,,,
1915,greatereqthan.wasm_function_9_block_3,"local.get[local_index(0)] i64.load[3,24] local.get[local_index(1)] i64.load[3,24] i64.gt_u",10,0.32,optimal,5,True,True,5,0,True,,local.get_0 i64.load_1 local.get_1 i64.load_3 i64.gt_u_0,5.0,5.0
1916,montgomerydouble.wasm_function_14_block_0_0,i64.const[0] local.set[local_index(2)] i64.const[0] local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and i64.const[1] i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295],10,0.77,optimal,20,True,True,20,16,True,,i64.const_1 TEE1 TEE2 i64.const_0,4.0,4.0
1917,lessthan.wasm_function_9_block_10,i32.const[1],10,0.11,optimal,1,True,True,1,0,True,,i32.const_0,1.0,1.0
1918,lessthan.wasm_function_14_block_0_19,i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and i64.const[1] i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and,10,180.01,no_model,20,False,False,20,0,True,,,,
1919,mux1_1.wasm_function_10_block_4,i32.const[1],10,0.11,optimal,1,True,True,1,0,True,,i32.const_0,1.0,1.0
1920,montgomerydouble.wasm_function_13_block_0_34,"local.get[local_index(8)] i64.mul i64.add local.set[local_index(3)] local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[2,32] local.get[local_index(4)] i64.const[32] i64.shr_u local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and",10,180.01,no_model,20,False,False,20,0,True,,,,
1921,babyadd_tester.wasm_function_12_block_0_5,"i64.store32[2,24] local.get[local_index(0)] i64.load32_u[2,28] local.get[local_index(1)] i64.load32_u[2,28] i64.sub local.get[local_index(3)] i64.const[32] i64.shr_s i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(3)] i64.const[4294967295] i64.and i64.store32[2,28] local.get[local_index(3)] i64.const[32] i64.shr_s i32.wrap_i64",10,180.01,no_model,20,False,False,20,0,True,,,,
1922,escalarmulw4table_test.wasm_function_14_block_0_36,i64.const[32] i64.shr_u local.set[local_index(5)] i64.const[0] local.set[local_index(2)] i64.const[0] local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(8)] local.get[local_index(13)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add,10,9.22,optimal,20,True,True,20,9,True,,i64.const_0 i64.shr_u_1 SET3 local.get_1 local.get_0 i64.mul_0 TEE1 i64.const_1 SET2 i64.const_0 i64.shr_u_0,11.0,11.0
1923,greaterthan.wasm_function_14_block_0_6,i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and i64.const[1] i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(7)],10,87.83,optimal,20,True,True,20,3,True,,i64.add_0 i64.const_1 i64.shl_1 GET1 i64.const_0 i64.and_0 i64.const_1 i64.shl_0 TEE1 i64.const_2 i64.shr_u_0 i64.add_1 SET2 i64.const_0 GET1 i64.and_1 local.get_0,17.0,17.0
1924,escalarmulw4table_test.wasm_function_13_block_0_28,"i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(0)] i64.load32_u[2,28] local.tee[local_index(19)] local.get[local_index(6)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)]",10,180.01,no_model,20,False,False,20,0,True,,,,
1925,escalarmulw4table_test3.wasm_function_12_block_0_3,"i64.sub local.get[local_index(3)] i64.const[32] i64.shr_s i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(3)] i64.const[4294967295] i64.and i64.store32[2,16] local.get[local_index(0)] i64.load32_u[2,20] local.get[local_index(1)] i64.load32_u[2,20] i64.sub local.get[local_index(3)] i64.const[32] i64.shr_s i64.add",10,127.53,optimal,20,True,True,20,1,True,,i64.sub_0 GET1 i64.const_0 i64.shr_s_0 i64.add_0 TEE1 i64.const_0 i64.shr_s_1 local.get_0 local.get_2 GET1 i64.const_1 i64.and_0 i64.store32_10 i64.load32_u_12 local.get_1 i64.load32_u_14 i64.sub_1 i64.add_1,19.0,19.0
1926,escalarmulw4table.wasm_function_9_block_18,"local.get[local_index(0)] i64.load[3,0] local.get[local_index(1)] i64.load[3,0] i64.gt_u",10,0.35,optimal,5,True,True,5,0,True,,local.get_0 i64.load_1 local.get_1 i64.load_3 i64.gt_u_0,5.0,5.0
1927,escalarmulw4table_test.wasm_function_14_block_0_14,i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and i64.const[1] i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(8)],10,122.01,optimal,20,True,True,20,3,True,,i64.add_0 i64.const_1 i64.shl_1 GET1 i64.const_0 i64.and_0 i64.const_1 i64.shl_0 TEE1 i64.const_2 i64.shr_u_0 i64.add_1 SET2 GET1 i64.const_0 i64.and_1 local.get_0,17.0,17.0
1928,montgomerydouble.wasm_function_6_block_3,"local.get[local_index(0)] i64.load[3,0] i64.eqz",10,0.18,optimal,3,True,True,3,0,True,,local.get_0 i64.load_1 i64.eqz_0,3.0,3.0
1929,babyadd_tester.wasm_function_13_block_0_7,local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(9)] local.get[local_index(8)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add,10,117.91,optimal,20,True,True,20,3,True,,TEE2 i64.const_0 i64.shr_u_1 GET1 i64.add_1 TEE1 GET2 i64.const_1 i64.and_0 local.get_1 local.get_0 i64.mul_0 i64.add_0 TEE2 i64.const_0 i64.shr_u_0 i64.add_2,17.0,17.0
1930,lesseqthan.wasm_function_12_block_0_3,"i64.sub local.get[local_index(3)] i64.const[32] i64.shr_s i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(3)] i64.const[4294967295] i64.and i64.store32[2,16] local.get[local_index(0)] i64.load32_u[2,20] local.get[local_index(1)] i64.load32_u[2,20] i64.sub local.get[local_index(3)] i64.const[32] i64.shr_s i64.add",10,99.2,optimal,20,True,True,20,1,True,,i64.sub_0 GET1 i64.const_0 i64.shr_s_0 i64.add_0 TEE1 local.get_2 GET1 i64.const_1 i64.and_0 i64.store32_10 i64.const_0 i64.shr_s_1 local.get_0 i64.load32_u_12 local.get_1 i64.load32_u_14 i64.sub_1 i64.add_1,19.0,19.0
1931,mux1_1.wasm_function_14_block_0_55,i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(13)] local.get[local_index(13)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)],10,180.01,no_model,20,False,False,20,0,True,,,,
1932,escalarmulw4table.wasm_function_14_block_0_55,i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(13)] local.get[local_index(13)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)],10,180.01,no_model,20,False,False,20,0,True,,,,
1933,escalarmulw4table_test3.wasm_function_17_block_2,local.get[local_index(2)] i64.eqz,10,0.14,optimal,2,True,True,2,0,True,,local.get_0 i64.eqz_0,2.0,2.0
1934,montgomery2edwards.wasm_function_14_block_0_15,local.get[local_index(8)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(4)] i64.const[4294967295] i64.and i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)],10,180.01,no_model,20,False,False,20,0,True,,,,
1935,mux1_1.wasm_function_13_block_0_28,"i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(0)] i64.load32_u[2,28] local.tee[local_index(19)] local.get[local_index(6)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)]",10,180.01,no_model,20,False,False,20,0,True,,,,
1936,escalarmulw4table_test.wasm_function_18_block_9,local.get[local_index(7)] i32.const[1] i32.sub local.set[local_index(7)],10,0.22,optimal,4,True,True,4,0,True,,GET1 i32.const_0 i32.sub_0 SET1,4.0,4.0
1937,escalarmulw4table_test.wasm_function_10_block_1,i32.const[0],10,0.11,optimal,1,True,True,1,0,True,,i32.const_0,1.0,1.0
1938,greaterthan.wasm_function_14_block_0_27,i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(7)] local.get[local_index(12)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and,10,180.01,no_model,20,False,False,20,0,True,,,,
1939,greatereqthan.wasm_function_8_block_13,i32.const[0],10,0.11,optimal,1,True,True,1,0,True,,i32.const_0,1.0,1.0
1940,mux1_1.wasm_function_13_block_0_50,"local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(4)] i64.store32[2,52] local.get[local_index(3)] i64.const[32] i64.shr_u local.set[local_index(4)] local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(19)] local.get[local_index(20)] i64.mul i64.add local.set[local_index(3)]",10,179.99,no_model,20,False,False,20,0,True,,,,
1941,escalarmulw4table_test3.wasm_function_11_block_0_1,"local.get[local_index(3)] i64.store32[2,4] local.get[local_index(0)] i64.load32_u[2,8] local.get[local_index(1)] i64.load32_u[2,8] i64.add local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[2,8] local.get[local_index(0)] i64.load32_u[2,12] local.get[local_index(1)] i64.load32_u[2,12] i64.add",10,158.33,optimal,20,True,True,20,1,True,,GET1 i64.store32_1 local.get_2 local.get_0 i64.load32_u_3 local.get_1 i64.load32_u_5 i64.add_1 GET1 i64.const_0 i64.shr_u_0 i64.add_2 TEE1 i64.store32_14 local.get_1 i64.load32_u_18 local.get_0 i64.load32_u_16 i64.add_0,19.0,19.0
1942,lesseqthan.wasm_function_13_block_0_48,"local.get[local_index(16)] i64.mul i64.add local.set[local_index(3)] local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[2,48] local.get[local_index(4)] i64.const[32] i64.shr_u local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and",10,180.01,no_model,20,False,False,20,0,True,,,,
1943,mux1_1.wasm_function_6_block_11,i32.const[0],10,0.11,optimal,1,True,True,1,0,True,,i32.const_0,1.0,1.0
1944,greaterthan.wasm_function_14_block_0_43,i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(4)] i64.const[4294967295] i64.and i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u,10,96.31,optimal,20,True,True,20,3,True,,i64.add_0 TEE1 i64.const_0 i64.shr_u_1 GET2 i64.add_2 TEE2 GET1 i64.const_1 i64.and_1 local.get_0 i64.const_1 i64.and_0 i64.add_1 TEE1 i64.const_0 i64.shr_u_0,17.0,17.0
1945,escalarmulw4table_test3.wasm_function_14_block_0_4,"local.get[local_index(4)] i64.const[4294967295] i64.and i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.get[local_index(5)] i64.add local.set[local_index(3)] local.get[local_index(1)] local.get[local_index(2)] i64.store32[2,4] local.get[local_index(3)] local.set[local_index(4)] local.get[local_index(4)] i64.const[32]",10,151.13,optimal,20,True,True,20,3,True,,i64.const_1 GET3 i64.and_0 i64.add_0 TEE1 i64.const_0 i64.shr_u_0 GET2 i64.add_1 local.get_1 i64.add_2 TEE3 TEE2 i64.const_0 local.get_0 GET1 i64.store32_15,17.0,17.0
1946,escalarmulw4table_test.wasm_function_8_block_2,"local.get[local_index(0)] i64.load[3,8] local.get[local_index(1)] i64.load[3,8] i64.eq",10,0.32,optimal,5,True,True,5,0,True,,local.get_0 i64.load_1 local.get_1 i64.load_3 i64.eq_0,5.0,5.0
1947,escalarmulw4table_test3.wasm_function_11_block_0_3,"i64.store32[2,16] local.get[local_index(0)] i64.load32_u[2,20] local.get[local_index(1)] i64.load32_u[2,20] i64.add local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[2,20] local.get[local_index(0)] i64.load32_u[2,24] local.get[local_index(1)] i64.load32_u[2,24] i64.add local.get[local_index(3)]",10,39.39,optimal,20,True,True,20,1,True,,i64.store32_0 local.get_1 local.get_2 local.get_1 i64.load32_u_4 local.get_0 i64.load32_u_2 i64.add_0 GET1 i64.const_0 i64.shr_u_0 i64.add_1 TEE1 i64.store32_13 i64.load32_u_17 local.get_0 i64.load32_u_15 i64.add_2 GET1,19.0,19.0
1948,escalarmulw4table_test.wasm_function_18_block_12,"i32.const[160] local.get[local_index(7)] i32.add i32.const[3] i32.sub i64.load32_u[0,0] i64.const[1] i64.add local.set[local_index(8)] local.get[local_index(8)] i64.const[1] i64.eq",10,2.33,optimal,12,True,True,12,1,True,,i64.const_0 i64.const_0 local.get_0 i32.const_1 i32.add_0 i32.const_0 i32.sub_0 i64.load32_u_5 i64.add_0 TEE1 i64.eq_0,11.0,11.0
1949,greaterthan.wasm_function_13_block_0_44,i64.const[4294967295] i64.and local.get[local_index(15)] local.get[local_index(18)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(17)] local.get[local_index(16)] i64.mul i64.add,10,180.01,no_model,20,False,False,20,0,True,,,,
1950,sum_test.wasm_function_13_block_0_9,"local.get[local_index(3)] i64.const[32] i64.shr_u local.set[local_index(4)] local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(5)] local.get[local_index(1)] i64.load32_u[2,16] local.tee[local_index(14)] i64.mul i64.add local.set[local_index(3)] local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)]",10,47.26,optimal,20,True,True,20,3,True,,GET1 i64.const_1 i64.shr_u_1 GET1 i64.const_0 i64.and_0 local.get_0 i64.load32_u_9 TEE3 local.get_1 i64.mul_0 i64.add_0 TEE1 i64.const_1 i64.shr_u_0 i64.add_1 SET2,17.0,17.0
1951,lesseqthan.wasm_function_14_block_0_24,i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(9)] local.get[local_index(9)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295],10,180.01,no_model,20,False,False,20,0,True,,,,
1952,lessthan.wasm_function_13_block_0_51,"local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[2,56] local.get[local_index(4)] i64.const[32] i64.shr_u local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(4)] i64.store32[2,60]",10,8.49,optimal,16,True,True,16,1,True,,local.get_0 GET2 GET1 i64.const_0 i64.shr_u_0 i64.add_0 TEE2 GET2 i64.const_0 i64.shr_u_1 local.get_0 GET1 i64.store32_8 SET1 i64.store32_15,15.0,15.0
1953,sum_test.wasm_function_14_block_0_22,i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(7)] local.get[local_index(11)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(8)],10,173.11,optimal,20,True,True,20,3,True,,i64.add_1 local.get_2 local.get_0 i64.mul_0 GET1 i64.const_0 i64.and_0 i64.add_0 TEE1 i64.const_1 i64.shr_u_0 i64.add_2 SET2 i64.const_0 GET1 i64.and_1 local.get_1,17.0,17.0
1954,montgomery2edwards.wasm_function_18_block_9,local.get[local_index(7)] i32.const[1] i32.sub local.set[local_index(7)],10,0.24,optimal,4,True,True,4,0,True,,GET1 i32.const_0 i32.sub_0 SET1,4.0,4.0
1955,greatereqthan.wasm_function_13_block_0_0,"local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(0)] i64.load32_u[2,0] local.tee[local_index(5)] local.get[local_index(1)] i64.load32_u[2,0] local.tee[local_index(6)] i64.mul i64.add local.set[local_index(3)] local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)] local.get[local_index(2)] local.get[local_index(3)]",10,180.01,no_model,20,False,False,20,0,True,,,,
1956,escalarmulw4table_test3.wasm_function_9_block_6,"local.get[local_index(0)] i64.load[3,16] local.get[local_index(1)] i64.load[3,16] i64.lt_u",10,0.19,optimal,5,True,True,5,0,True,,local.get_0 i64.load_1 local.get_1 i64.load_3 i64.lt_u_0,5.0,5.0
1957,sum_test.wasm_function_14_block_0_32,i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(8)] local.get[local_index(12)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(9)],10,88.02,optimal,20,True,True,20,3,True,,i64.add_1 i64.const_0 GET1 i64.and_0 local.get_0 local.get_2 i64.mul_0 i64.add_0 TEE1 i64.const_1 i64.shr_u_0 i64.add_2 SET2 i64.const_0 GET1 i64.and_1 local.get_1,17.0,17.0
1958,greatereqthan.wasm_function_14_block_0_30,"i64.const[4294967295] i64.and local.get[local_index(4)] i64.const[4294967295] i64.and i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.get[local_index(5)] i64.add local.set[local_index(3)] local.get[local_index(1)] local.get[local_index(2)] i64.store32[2,28] local.get[local_index(3)] local.set[local_index(4)]",10,180.01,no_model,20,False,False,20,0,True,,,,
1959,montgomery2edwards.wasm_function_13_block_0_16,i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(13)] local.get[local_index(8)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and,10,180.01,no_model,20,False,False,20,0,True,,,,
1960,greaterthan.wasm_function_14_block_0_55,i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(13)] local.get[local_index(13)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)],10,105.74,optimal,20,True,True,20,3,True,,i64.shl_0 TEE1 i64.const_1 i64.shr_u_0 GET2 i64.const_2 i64.shl_1 i64.add_1 TEE2 local.get_0 local.get_0 i64.mul_0 GET1 i64.const_0 i64.and_0 i64.add_0 TEE1,17.0,17.0
1961,greaterthan.wasm_function_13_block_0_26,local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(13)] local.get[local_index(12)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add,10,146.2,optimal,20,True,True,20,3,True,,TEE2 i64.const_0 i64.shr_u_1 GET1 i64.add_1 TEE1 local.get_1 local.get_0 i64.mul_0 GET2 i64.const_1 i64.and_0 i64.add_0 TEE2 i64.const_0 i64.shr_u_0 i64.add_2,17.0,17.0
1962,escalarmulw4table.wasm_function_18_block_3,local.get[local_index(3)],10,0.11,optimal,1,True,True,1,0,True,,local.get_0,1.0,1.0
1963,montgomery2edwards.wasm_function_13_block_0_38,local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(4)] i64.const[4294967295] i64.and local.get[local_index(19)] local.get[local_index(10)] i64.mul i64.add local.set[local_index(4)] local.get[local_index(3)] local.get[local_index(4)] i64.const[32] i64.shr_u i64.add,10,139.05,optimal,20,True,True,20,3,True,,TEE2 i64.const_0 i64.shr_u_1 GET1 i64.add_1 TEE1 i64.const_1 GET2 i64.and_0 local.get_1 local.get_0 i64.mul_0 i64.add_0 TEE2 i64.const_0 i64.shr_u_0 i64.add_2,17.0,17.0
1964,greaterthan.wasm_function_14_block_0_20,"local.get[local_index(4)] i64.const[4294967295] i64.and i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.get[local_index(5)] i64.add local.set[local_index(3)] local.get[local_index(1)] local.get[local_index(2)] i64.store32[2,20] local.get[local_index(3)] local.set[local_index(4)] local.get[local_index(4)] i64.const[32]",10,180.01,no_model,20,False,False,20,0,True,,,,
1965,escalarmulw4table_test.wasm_function_11_block_0_2,"local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[2,12] local.get[local_index(0)] i64.load32_u[2,16] local.get[local_index(1)] i64.load32_u[2,16] i64.add local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(3)]",10,153.99,optimal,20,True,True,20,1,True,,GET1 i64.const_0 i64.shr_u_0 i64.add_0 TEE1 i64.const_0 i64.shr_u_1 local.get_1 local.get_2 GET1 i64.store32_7 i64.load32_u_11 local.get_0 i64.load32_u_9 i64.add_1 i64.add_2 SET1 local.get_2 GET1,19.0,19.0
1966,lesseqthan.wasm_function_10_block_25,i32.const[0],10,0.11,optimal,1,True,True,1,0,True,,i32.const_0,1.0,1.0
1967,montgomery2edwards.wasm_function_18_block_12,"i32.const[160] local.get[local_index(7)] i32.add i32.const[3] i32.sub i64.load32_u[0,0] i64.const[1] i64.add local.set[local_index(8)] local.get[local_index(8)] i64.const[1] i64.eq",10,1.74,optimal,12,True,True,12,1,True,,i64.const_0 i32.const_1 local.get_0 i32.add_0 i32.const_0 i32.sub_0 i64.load32_u_5 i64.const_0 i64.add_0 TEE1 i64.eq_0,11.0,11.0
1968,montgomery2edwards.wasm_function_18_block_2,i32.const[192] local.set[local_index(5)],10,0.13,optimal,2,True,True,2,0,True,,i32.const_0 SET1,2.0,2.0
1969,babyadd_tester.wasm_function_10_block_18,"local.get[local_index(0)] i64.load[3,0] local.get[local_index(1)] i64.load[3,0] i64.ge_u",10,0.33,optimal,5,True,True,5,0,True,,local.get_0 i64.load_1 local.get_1 i64.load_3 i64.ge_u_0,5.0,5.0
